Entry	Entry name	Gene names  (ordered locus )	Gene names	Length	Absorption	Active site	Activity regulation	Binding site	Calcium binding	Catalytic activity	Cofactor	DNA binding	Metal binding	Nucleotide binding	Site	Motif
P39936	IF4F2_YEAST	YGL049C	TIF4632 YGL049C	914												
Q12285	MDY2_YEAST	YOL111C	MDY2 GET5 TMA24 YOL111C	212												
P47042	IKS1_YEAST	YJL057C	IKS1 YJL057C J1143	667		ACT_SITE 350 350 Proton acceptor. {ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000255|PROSITE-ProRule:PRU10027}.		BINDING 205 205 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1;				NP_BIND 179 187 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		
P42950	GSM1_YEAST	YJL103C	GSM1 YJL103C J0824	618								DNA_BIND 20 48 Zn(2)-C6 fungal-type. {ECO:0000255|PROSITE-ProRule:PRU00227}.				
P39996	GTT3_YEAST	YEL017W	GTT3 YEL017W	337												
P38991	IPL1_YEAST	YPL209C	IPL1 YPL209C	367		ACT_SITE 227 227 Proton acceptor. {ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000255|PROSITE-ProRule:PRU10027}.		BINDING 133 133 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1;				NP_BIND 110 118 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		
Q06142	IMB1_YEAST	YLR347C	KAP95 YLR347C L8300.15	861												
Q12176	MAK21_YEAST	YDR060W	MAK21 NOC1 YDR060W D4237 YD9609.14	1025												
P17505	MDHM_YEAST	YKL085W	MDH1 YKL085W	334		ACT_SITE 195 195 Proton acceptor. {ECO:0000250|UniProtKB:P00346}.		BINDING 50 50 NAD. {ECO:0000250|UniProtKB:P40926}.; BINDING 99 99 Substrate. {ECO:0000255|PROSITE-ProRule:PRU10004}.; BINDING 105 105 Substrate. {ECO:0000255|PROSITE-ProRule:PRU10004}.; BINDING 112 112 NAD. {ECO:0000250|UniProtKB:P40926}.; BINDING 137 137 Substrate. {ECO:0000255|PROSITE-ProRule:PRU10004}.; BINDING 171 171 Substrate. {ECO:0000255|PROSITE-ProRule:PRU10004}.; BINDING 245 245 NAD. {ECO:0000250|UniProtKB:P40926}.		CATALYTIC ACTIVITY: Reaction=(S)-malate + NAD(+) = H(+) + NADH + oxaloacetate; Xref=Rhea:RHEA:21432, ChEBI:CHEBI:15378, ChEBI:CHEBI:15589, ChEBI:CHEBI:16452, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.1.1.37; Evidence={ECO:0000255|PROSITE-ProRule:PRU10004};				NP_BIND 24 30 NAD. {ECO:0000250|UniProtKB:P40926}.; NP_BIND 135 137 NAD. {ECO:0000250|UniProtKB:P40926}.		
P19881	PNPP_YEAST	YDL236W	PHO13 YDL236W	312			ACTIVITY REGULATION: Activity enhanced by Mg(2+) ion but inhibited by Ca(2+), Zn(2+) and Be(2+) ions. Inorganic phosphate and ATP are competitive inhibitors, whereas pyrophosphate and AMP have no effect.			CATALYTIC ACTIVITY: Reaction=4-nitrophenyl phosphate + H2O = 4-nitrophenol + H(+) + phosphate; Xref=Rhea:RHEA:21664, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:43474, ChEBI:CHEBI:57917, ChEBI:CHEBI:61146; EC=3.1.3.41;						
Q08972	NEW1_YEAST	YPL226W	NEW1 YPL226W P1445	1196										NP_BIND 604 611 ATP 1. {ECO:0000255|PROSITE-ProRule:PRU00434}.; NP_BIND 846 853 ATP 2. {ECO:0000255|PROSITE-ProRule:PRU00434}.		
P22211	NPR1_YEAST	YNL183C	NPR1 YNL183C N1631	790		ACT_SITE 561 561 Proton acceptor. {ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000255|PROSITE-ProRule:PRU10027}.	ACTIVITY REGULATION: Dephosphorylation by SIT4 activates NPR1 kinase activity.	BINDING 467 467 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1;				NP_BIND 444 452 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		
P32499	NUP2_YEAST	YLR335W	NUP2 YLR335W L8300.9	720												
Q05809	COA4_YEAST	YLR218C	COA4 CMC3 YLR218C	96												MOTIF 39 49 Cx9C motif 1. {ECO:0000255|PROSITE-ProRule:PRU01150}.; MOTIF 59 69 Cx9C motif 2. {ECO:0000255|PROSITE-ProRule:PRU01150}.
P38971	ALP1_YEAST	YNL270C	ALP1 YNL270C N0660	573												
Q06541	ARV1_YEAST	YLR242C	ARV1 YLR242C	321												
Q12084	DAS2_YEAST	YDR020C	DAS2 RRT3 YDR020C PZE232	232						CATALYTIC ACTIVITY: Reaction=ATP + uridine = ADP + H(+) + UMP; Xref=Rhea:RHEA:16825, ChEBI:CHEBI:15378, ChEBI:CHEBI:16704, ChEBI:CHEBI:30616, ChEBI:CHEBI:57865, ChEBI:CHEBI:456216; EC=2.7.1.48; CATALYTIC ACTIVITY: Reaction=ATP + cytidine = ADP + CMP + H(+); Xref=Rhea:RHEA:24674, ChEBI:CHEBI:15378, ChEBI:CHEBI:17562, ChEBI:CHEBI:30616, ChEBI:CHEBI:60377, ChEBI:CHEBI:456216; EC=2.7.1.48;				NP_BIND 17 24 ATP. {ECO:0000255}.		
Q06336	GGA1_YEAST	YDR358W	GGA1 YDR358W D9476.2	557												
P53255	DRN1_YEAST	YGR093W	DRN1 YGR093W	507												
O13577	DIF1_YEAST	YLR437C	DIF1 YLR437C	133												
P40884	IMA5_YEAST	YJL216C	IMA5 YJL216C HRF581 J0228	581		ACT_SITE 210 210 Nucleophile. {ECO:0000250}.; ACT_SITE 272 272 Proton donor. {ECO:0000250}.				CATALYTIC ACTIVITY: Reaction=Hydrolysis of (1->6)-alpha-D-glucosidic linkages in some oligosaccharides produced from starch and glycogen by alpha-amylase, and in isomaltose.; EC=3.2.1.10;					SITE 347 347 Transition state stabilizer. {ECO:0000250}.	
P53145	LSG1_YEAST	YGL099W	LSG1 YGL099W	640										NP_BIND 236 239 GTP. {ECO:0000255}.; NP_BIND 343 350 GTP. {ECO:0000305}.; NP_BIND 387 390 GTP. {ECO:0000255}.		
Q08732	HRK1_YEAST	YOR267C	HRK1 YOR267C	759		ACT_SITE 340 340 Proton acceptor. {ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000255|PROSITE-ProRule:PRU10027}.		BINDING 244 244 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1;				NP_BIND 221 229 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		
Q04178	HPRT_YEAST	YDR399W	HPT1 BRA6 YDR399W D9509.18	221		ACT_SITE 114 114 Proton acceptor. {ECO:0000250}.	ACTIVITY REGULATION: Subject to feedback inhibition by GMP. {ECO:0000269|PubMed:18245832}.	BINDING 85 85 GMP. {ECO:0000269|PubMed:18245832}.; BINDING 159 159 GMP. {ECO:0000269|PubMed:18245832}.		CATALYTIC ACTIVITY: Reaction=diphosphate + IMP = 5-phospho-alpha-D-ribose 1-diphosphate + hypoxanthine; Xref=Rhea:RHEA:17973, ChEBI:CHEBI:17368, ChEBI:CHEBI:33019, ChEBI:CHEBI:58017, ChEBI:CHEBI:58053; EC=2.4.2.8; Evidence={ECO:0000269|PubMed:18245832}; CATALYTIC ACTIVITY: Reaction=diphosphate + GMP = 5-phospho-alpha-D-ribose 1-diphosphate + guanine; Xref=Rhea:RHEA:25424, ChEBI:CHEBI:16235, ChEBI:CHEBI:33019, ChEBI:CHEBI:58017, ChEBI:CHEBI:58115; EC=2.4.2.8; Evidence={ECO:0000269|PubMed:18245832};	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420;  Note=The magnesium ions are essentially bound to the substrate and have few direct interactions with the protein.;			NP_BIND 110 118 GMP. {ECO:0000269|PubMed:18245832}.; NP_BIND 188 194 GMP. {ECO:0000269|PubMed:18245832}.		
P35724	MNR2_YEAST	YKL064W	MNR2 YKL064W	969												
P53297	PBP1_YEAST	YGR178C	PBP1 MRS16 YGR178C	722												
P54199	MPS1_YEAST	YDL028C	MPS1 RPK1 YDL028C D2785	764		ACT_SITE 563 563 Proton acceptor. {ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000255|PROSITE-ProRule:PRU10027}.		BINDING 468 468 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.12.2; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.12.2; CATALYTIC ACTIVITY: Reaction=ATP + L-tyrosyl-[protein] = ADP + H(+) + O-phospho-L-tyrosyl-[protein]; Xref=Rhea:RHEA:10596, Rhea:RHEA-COMP:10136, Rhea:RHEA-COMP:10137, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:46858, ChEBI:CHEBI:82620, ChEBI:CHEBI:456216; EC=2.7.12.2;				NP_BIND 446 454 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		
P39684	PES4_YEAST	YFR023W	PES4 YFR023W	611												
P33895	NUF2_YEAST	YOL069W	NUF2 YOL069W	451												
P38205	NCL1_YEAST	YBL024W	NCL1 TRM4 YBL024W YBL0437	684		ACT_SITE 310 310 Nucleophile. {ECO:0000255|PROSITE-ProRule:PRU01023}.		BINDING 202 202 S-adenosyl-L-methionine. {ECO:0000255|PROSITE-ProRule:PRU01023}.; BINDING 229 229 S-adenosyl-L-methionine. {ECO:0000255|PROSITE-ProRule:PRU01023}.; BINDING 257 257 S-adenosyl-L-methionine. {ECO:0000255|PROSITE-ProRule:PRU01023}.		CATALYTIC ACTIVITY: Reaction=cytidine(34) in tRNA precursor + S-adenosyl-L-methionine = 5-methylcytidine(34) in tRNA precursor + H(+) + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:42940, Rhea:RHEA-COMP:10291, Rhea:RHEA-COMP:10295, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:74483, ChEBI:CHEBI:82748; EC=2.1.1.202; Evidence={ECO:0000269|PubMed:10445884}; CATALYTIC ACTIVITY: Reaction=cytidine(40) in tRNA precursor + S-adenosyl-L-methionine = 5-methylcytidine(40) in tRNA precursor + H(+) + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:42944, Rhea:RHEA-COMP:10292, Rhea:RHEA-COMP:10296, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:74483, ChEBI:CHEBI:82748; EC=2.1.1.202; Evidence={ECO:0000269|PubMed:10445884}; CATALYTIC ACTIVITY: Reaction=cytidine(48) in tRNA + S-adenosyl-L-methionine = 5-methylcytidine(48) in tRNA + H(+) + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:42948, Rhea:RHEA-COMP:10293, Rhea:RHEA-COMP:10297, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:74483, ChEBI:CHEBI:82748; EC=2.1.1.202; Evidence={ECO:0000269|PubMed:10445884}; CATALYTIC ACTIVITY: Reaction=cytidine(49) in tRNA + S-adenosyl-L-methionine = 5-methylcytidine(49) in tRNA + H(+) + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:42952, Rhea:RHEA-COMP:10294, Rhea:RHEA-COMP:10385, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:74483, ChEBI:CHEBI:82748; EC=2.1.1.202; Evidence={ECO:0000269|PubMed:10445884};						
Q07500	NDH2_YEAST	YDL085W	NDE2 NDH2 YDL085W	545						CATALYTIC ACTIVITY: Reaction=a ubiquinone + H(+) + NADH = a ubiquinol + NAD(+); Xref=Rhea:RHEA:23152, Rhea:RHEA-COMP:9565, Rhea:RHEA-COMP:9566, ChEBI:CHEBI:15378, ChEBI:CHEBI:16389, ChEBI:CHEBI:17976, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.6.5.9;				NP_BIND 99 129 FAD. {ECO:0000250}.; NP_BIND 260 296 NAD. {ECO:0000250}.		
Q06287	NEP1_YEAST	YLR186W	EMG1 NEP1 YLR186W L9470.5	252				BINDING 180 180 S-adenosyl-L-methionine; via carbonyl oxygen. {ECO:0000269|PubMed:18063569, ECO:0000269|PubMed:21087996}.; BINDING 207 207 S-adenosyl-L-methionine; via amide nitrogen. {ECO:0000269|PubMed:18063569, ECO:0000269|PubMed:21087996}.		CATALYTIC ACTIVITY: Reaction=pseudouridine(1191) in yeast 18S rRNA + S-adenosyl-L-methionine = H(+) + N(1)-methylpseudouridine(1191) in yeast 18S rRNA + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:54308, Rhea:RHEA-COMP:13851, Rhea:RHEA-COMP:13852, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:65314, ChEBI:CHEBI:74890; EC=2.1.1.260; Evidence={ECO:0000269|PubMed:20972225};					SITE 88 88 Interaction with substrate rRNA. {ECO:0000269|PubMed:21087996}.; SITE 90 90 Stabilizes Arg-88. {ECO:0000303|PubMed:21087996}.; SITE 129 129 Interaction with substrate rRNA. {ECO:0000269|PubMed:21087996}.; SITE 132 132 Interaction with substrate rRNA. {ECO:0000269|PubMed:21087996}.; SITE 136 136 Interaction with substrate rRNA. {ECO:0000269|PubMed:21087996}.	
P20457	PRI2_YEAST	YKL045W	PRI2 YKL045W YKL258	528							COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000269|PubMed:17704817};  Note=Binds 1 [4Fe-4S] cluster. {ECO:0000269|PubMed:17704817};		METAL 336 336 Iron-sulfur (4Fe-4S). {ECO:0000269|PubMed:20404922}.; METAL 417 417 Iron-sulfur (4Fe-4S). {ECO:0000269|PubMed:20404922}.; METAL 434 434 Iron-sulfur (4Fe-4S). {ECO:0000269|PubMed:20404922}.; METAL 474 474 Iron-sulfur (4Fe-4S). {ECO:0000269|PubMed:20404922}.			
P53199	ERG26_YEAST	YGL001C	ERG26 YGL001C	349		ACT_SITE 151 151 Proton acceptor. {ECO:0000250}.		BINDING 155 155 NAD. {ECO:0000250}.		CATALYTIC ACTIVITY: Reaction=a 3beta-hydroxysteroid-4alpha-carboxylate + NADP(+) = a 3-oxosteroid + CO2 + NADPH; Xref=Rhea:RHEA:34771, ChEBI:CHEBI:16526, ChEBI:CHEBI:47788, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:136966; EC=1.1.1.170; CATALYTIC ACTIVITY: Reaction=a 3beta-hydroxysteroid-4alpha-carboxylate + NAD(+) = a 3-oxosteroid + CO2 + NADH; Xref=Rhea:RHEA:34775, ChEBI:CHEBI:16526, ChEBI:CHEBI:47788, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:136966; EC=1.1.1.170;						
P06242	KIN28_YEAST	YDL108W	KIN28 YDL108W D2330	306		ACT_SITE 129 129 Proton acceptor. {ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000255|PROSITE-ProRule:PRU10027}.		BINDING 36 36 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		CATALYTIC ACTIVITY: Reaction=[DNA-directed RNA polymerase] + ATP = ADP + H(+) + phospho-[DNA-directed RNA polymerase]; Xref=Rhea:RHEA:10216, Rhea:RHEA-COMP:11321, Rhea:RHEA-COMP:11322, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43176, ChEBI:CHEBI:68546, ChEBI:CHEBI:456216; EC=2.7.11.23;				NP_BIND 13 21 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		
Q12517	DCP1_YEAST	YOL149W	DCP1 YOL149W	231												
P49573	CTR1_YEAST	YPR124W	CTR1 YPR124W P9642.3	406												
Q01919	KIN4_YEAST	YOR233W	KIN4 KIN3 KIN31 YOR233W O5220	800		ACT_SITE 175 175 Proton acceptor. {ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000255|PROSITE-ProRule:PRU10027}.		BINDING 80 80 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1;				NP_BIND 52 60 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		
Q06346	KEI1_YEAST	YDR367W	KEI1 YDR367W	221												
P09620	KEX1_YEAST	YGL203C	KEX1 YGL203C	729		ACT_SITE 198 198; ACT_SITE 405 405 {ECO:0000250}.; ACT_SITE 470 470 {ECO:0000250}.				CATALYTIC ACTIVITY: Reaction=Preferential release of a C-terminal arginine or lysine residue.; EC=3.4.16.6;						
P32480	HIR2_YEAST	YOR038C	HIR2 YOR038C OR26.31	875												
P39935	IF4F1_YEAST	YGR162W	TIF4631 YGR162W	952												
Q08561	IES4_YEAST	YOR189W	IES4 YOR189W	116												
P32491	MKK2_YEAST	YPL140C	MKK2 SSP33 YPL140C LPI6C	506		ACT_SITE 342 342 Proton acceptor. {ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000255|PROSITE-ProRule:PRU10027}.		BINDING 243 243 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.12.2; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.12.2; CATALYTIC ACTIVITY: Reaction=ATP + L-tyrosyl-[protein] = ADP + H(+) + O-phospho-L-tyrosyl-[protein]; Xref=Rhea:RHEA:10596, Rhea:RHEA-COMP:10136, Rhea:RHEA-COMP:10137, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:46858, ChEBI:CHEBI:82620, ChEBI:CHEBI:456216; EC=2.7.12.2;				NP_BIND 220 228 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		
P10961	HSF_YEAST	YGL073W	HSF1 YGL073W	833								DNA_BIND 172 277 {ECO:0000269|PubMed:3044612}.				
Q6Q546	HUB1_YEAST	YNR032C-A	HUB1 YNR032C-A	73												
Q96VH4	HBN1_YEAST	YCL026C-B	HBN1 YCL026C-B YCL027C-A	193							COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; Evidence={ECO:0000305}; 					
P53114	MED5_YEAST	YGL151W	NUT1 MED5 YGL151W G1876	1132												
Q08295	IMA2_YEAST	YOL157C	IMA2 YOL157C	589		ACT_SITE 215 215 Nucleophile. {ECO:0000250}.; ACT_SITE 277 277 Proton donor. {ECO:0000250}.				CATALYTIC ACTIVITY: Reaction=Hydrolysis of (1->6)-alpha-D-glucosidic linkages in some oligosaccharides produced from starch and glycogen by alpha-amylase, and in isomaltose.; EC=3.2.1.10;					SITE 352 352 Transition state stabilizer. {ECO:0000250}.	
P02294	H2B2_YEAST	YBL002W	HTB2 H2B2 YBL002W YBL0104	131												
Q08227	INP54_YEAST	YOL065C	INP54 YOL065C	384						CATALYTIC ACTIVITY: Reaction=a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-4,5-bisphosphate) + H2O = 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol 4-phosphate) + phosphate; Xref=Rhea:RHEA:22764, ChEBI:CHEBI:15377, ChEBI:CHEBI:43474, ChEBI:CHEBI:58178, ChEBI:CHEBI:58456; EC=3.1.3.36;						
Q12514	NOT5_YEAST	YPR072W	NOT5 YPR072W YP9499.27	560												
P00425	COX5B_YEAST	YIL111W	COX5B YIL111W	151						CATALYTIC ACTIVITY: Reaction=4 [Fe(II)cytochrome c] + 4 H(+) + O2 = 4 [Fe(III)cytochrome c] + 2 H2O; Xref=Rhea:RHEA:11436, Rhea:RHEA-COMP:10350, Rhea:RHEA-COMP:14399, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:29033, ChEBI:CHEBI:29034; EC=1.9.3.1;						
P40452	COA1_YEAST	YIL157C	COA1 FMP35 YIL157C	197												
P38824	COX23_YEAST	YHR116W	COX23 YHR116W	151												MOTIF 104 114 Cx9C motif 1. {ECO:0000255|PROSITE-ProRule:PRU01150}.; MOTIF 125 135 Cx9C motif 2. {ECO:0000255|PROSITE-ProRule:PRU01150}.
Q06604	BSP1_YEAST	YPR171W	BSP1 YPR171W	576												
P40047	ALDH5_YEAST	YER073W	ALD5 ALD3 ALDH5 YER073W	520		ACT_SITE 288 288 Proton acceptor. {ECO:0000255|PROSITE-ProRule:PRU10007, ECO:0000255|PROSITE-ProRule:PRU10008}.; ACT_SITE 322 322 Nucleophile. {ECO:0000255|PROSITE-ProRule:PRU10007, ECO:0000255|PROSITE-ProRule:PRU10008}.	ACTIVITY REGULATION: Induced by potassium ions.			CATALYTIC ACTIVITY: Reaction=an aldehyde + H2O + NADP(+) = a carboxylate + 2 H(+) + NADPH; Xref=Rhea:RHEA:11888, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:17478, ChEBI:CHEBI:29067, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.2.1.5; CATALYTIC ACTIVITY: Reaction=an aldehyde + H2O + NAD(+) = a carboxylate + 2 H(+) + NADH; Xref=Rhea:RHEA:16185, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:17478, ChEBI:CHEBI:29067, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.2.1.5;				NP_BIND 266 271 NAD. {ECO:0000250}.	SITE 190 190 Transition state stabilizer. {ECO:0000250}.	
P47064	AP3S_YEAST	YJL024C	APS3 YKS7 YJL024C J1274	194												
P07258	CARA_YEAST	YOR303W	CPA1 YOR303W	411		ACT_SITE 264 264 Nucleophile. {ECO:0000250}.; ACT_SITE 349 349 {ECO:0000250}.; ACT_SITE 351 351 {ECO:0000250}.				CATALYTIC ACTIVITY: Reaction=2 ATP + H2O + hydrogencarbonate + L-glutamine = 2 ADP + carbamoyl phosphate + 2 H(+) + L-glutamate + phosphate; Xref=Rhea:RHEA:18633, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:17544, ChEBI:CHEBI:29985, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:58228, ChEBI:CHEBI:58359, ChEBI:CHEBI:456216; EC=6.3.5.5;						
